Reference Angle,Measured Angle,Measured Angle with Zero Correction,Angle Error,Angle Error Fitting,H1,H2,H3,H4,Ph1,Ph2,Ph3,Ph4,Number of points,Corrected Angle Cst + Slope,Angle Error after fit Cst + Slope,Corrected Angle Cst + Slope Lin Search,Angle Error after fit Cst + Slope Lin Search,Corrected Angle Fitted,Angle Error after Fit
126.5,51.6794,52.1794,-3.48597,-1.59772,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,53.7443,-1.56482,53.7443,-1.56482,53.7443,-1.56482
123.5,50.0434,50.5434,-2.12202,-1.56932,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,52.0774,-1.53397,52.0774,-1.53397,52.0774,-1.53397
120.5,48.2968,48.7968,-0.868633,-1.53203,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,50.2978,-1.50104,50.2978,-1.50104,50.2978,-1.50104
117.5,46.8349,47.3349,0.669514,-1.49464,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,48.8084,-1.47348,48.8084,-1.47348,48.8084,-1.47348
114.5,45.0596,45.5596,1.89418,-1.44086,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,46.9996,-1.44001,46.9996,-1.44001,46.9996,-1.44001
111.5,43.2614,43.7614,3.096,-1.37624,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,45.1078,-1.3464,45.1078,-1.3464,45.1078,-1.3464
108.5,41.2415,41.7415,4.07613,-1.29056,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,42.9805,-1.23896,42.9805,-1.23896,42.9805,-1.23896
105.5,38.3028,38.8028,4.13744,-1.13954,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,39.8855,-1.08264,39.8855,-1.08264,39.8855,-1.08264
102.5,33.3908,33.8908,2.22539,-0.813429,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,34.6971,-0.806265,34.6971,-0.806265,34.6971,-0.806265
99.5,26.8478,27.3478,-1.31758,-0.235688,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,27.5313,-0.183497,27.5313,-0.183497,27.5313,-0.183496
96.5,24.2656,24.7657,-0.899791,0.0339928,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,24.7034,0.0622794,24.7034,0.0622794,24.7034,0.0622796
93.5,22.2234,22.7234,0.0580336,0.261902,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,22.4585,0.264986,22.4585,0.264986,22.4585,0.264986
90.5,20.612,21.112,1.44661,0.449877,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,20.6452,0.466876,20.6452,0.466876,20.6452,0.466877
87.5,18.8823,19.3823,2.71685,0.658712,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,18.6987,0.683596,18.6987,0.683596,18.6987,0.683596
84.5,17.1742,17.6742,4.00878,0.871113,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,16.7766,0.897601,16.7766,0.897601,16.7766,0.897601
81.5,15.4626,15.9626,5.29717,1.08904,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,14.8505,1.11205,14.8505,1.11205,14.8505,1.11205
78.5,13.262,13.762,6.09661,1.37489,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,12.3743,1.38775,12.3743,1.38775,12.3743,1.38775
75.5,10.5192,11.0192,6.35378,1.73651,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,9.28519,1.73403,9.28519,1.73403,9.28519,1.73403
72.5,2.07224,2.57224,0.906819,2.83545,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,359.749,2.82281,359.749,2.82281,359.749,2.82281
69.5,355.582,356.082,-2.58375,3.59652,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,351.806,4.27533,351.806,4.27533,352.535,3.54653
66.5,356.787,357.287,1.62182,3.46383,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,353.008,4.27935,353.008,4.27935,353.865,3.42194
63.5,354.875,355.375,2.70946,3.67216,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,351.102,4.27297,351.102,4.27297,351.755,3.61957
60.5,353.118,353.618,3.95232,3.8529,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,349.351,4.26712,349.351,4.26712,349.817,3.80117
57.5,351.231,351.731,5.06545,4.03461,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,347.47,4.26083,347.47,4.26083,347.735,3.99617
54.5,349.433,349.933,6.26806,4.19498,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,345.679,4.25483,345.679,4.25483,345.752,4.18192
51.5,347.44,347.94,7.27483,4.35749,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,343.611,4.32917,343.611,4.32917,343.611,4.32917
48.5,344.821,345.321,7.65529,4.54547,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,340.838,4.48239,340.838,4.48239,340.838,4.48239
45.5,340.618,341.118,6.45287,4.78412,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,336.39,4.7282,336.39,4.7282,336.39,4.7282
42.5,333.376,333.876,2.21074,5.01327,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,328.921,4.95511,328.921,4.95511,328.921,4.95511
39.5,329.227,329.727,1.0613,5.04691,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,324.727,4.99991,324.727,4.99991,324.727,4.9999
36.5,327.035,327.535,1.86937,5.0389,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,322.511,5.02357,322.511,5.02357,322.511,5.02357
33.5,325.3,325.8,3.13475,5.02105,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,320.792,5.00792,320.792,5.00792,320.792,5.00792
